Species ID,Red List status,Population trend,Extracted population decline,Population decline years,Population decline details,gen_length_d
83683094,LC,stable,NA,NA,unlikely to be declining.,NA
6506,EN,decreasing,51%,from 2001 to 2009-2013=10 years,"Surveys in Russia indicated that the population declined from 27,120 in 2001 to 13,320 in surveys from 2009-2013, which is a 51% reduction",NA
6508,LC,stable,NA,NA,unlikely to be declining.,NA
6553,CR,2008,population size is estimated to number fewer than 250 mature individuals...total population fewer than 275 and probably more than 220,>80%,over three generations (generation length estimated at 20 years),7300
6557,CR,increasing,NA,NA,Current numbers are however still 90% lower than three generations ago.,6205
40500,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
6607,VU,decreasing,NA,NA,suggest that the species is declining in both population and range,NA
6608,LC,unknown,NA,NA,unlikely to be declining.,NA
6684,LC,decreasing,NA,NA,"probably are declining, but the rate of decline is unknown.    and overall its population is unlikely to be declining fast enough (סותר)",NA
42605,LC,decreasing,relatively stable or are declining at a rate of less than 10%,over 10 years or three generations,"For the species as a whole, the extent of occurrence, area of occupancy, number of subpopulations, and population size probably are relatively stable or are declining at a rate of less than 10% over 10 years or three generations.",NA
6772,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
6773,CR,decreasing,>80%,over three generations (15-20 years),population decline of at least 80% over three generations (15-20 years),NA
6775,LC,unknown,NA,NA,food may contribute to some localized declines.,NA
6785,NT,decreasing,~30%,over ten years,"declining due to loss of habitat, competition with large introduced herbivores and hunting, probably at a rate close to 30% over ten years",NA
6793,VU,decreasing,NA,over three generations (12 years),a continuing and projected decline of at least 10% over three generations (12 years),1825
6794,CR,decreasing,NA,NA,continuing decline,NA
6799,VU,decreasing,>30%,"over a 15 year period (5 years in the past and 10 into the future, i.e. three generations)","at least a 30% population reduction over a 15 year period (5 years in the past and 10 into the future, i.e. three generations)",NA
6802,NT,decreasing,<30%,over 3 generations – 15 years,this species is in significant decline (but at a rate of less than 30% over 3 generations – 15 years),NA
136313,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
6834,NT,decreasing,20%,10 years,20% over 10 years,NA
136356,VU,decreasing,>30%,15 years,decline inferred to be at least 30% over a fifteen year period including,NA
6931,NT,decreasing,(probably) 30%,over the next ten years,probably in significant decline (at a rate close to 30% over the next ten years),NA
136230,VU,decreasing,>30%,NA,population decline of greater than 30% over a ten year period,NA
7030,NT,decreasing,< 30%,past three generations (18 years),"significant decline, but at a rate of less than 30% over the past three generations (18 years)",NA
7112,NT,decreasing,<30%,"over three generation, approximately 21 years","in significant decline (but most likely at a rate of less than 30% over three generation, approximately 21 years)",2555
7121,EW,NA,NA,NA,"This species is listed as Extinct in the Wild. The captive population in China has increased in recent years, and the possibility remains that free-ranging populations can be established some time in the near future. When that happens, its Red List status will need to be reassessed.",NA
7140,EN,decreasing,at least 50%,last three generations (estimated to be 60–75 years,"overall population decline of at least 50% over the last three generations (estimated to be 60–75 years, based on a generation time estimated to be 20–25 years) seems realistic.",8030
7618,NT,decreasing,<30%,over the last 10 years,overall reduction over the last 10 years is almost certainly less than 30%,NA
48266951,LC,unknown,NA,NA,no reasons to think that the population is declining.,NA
7626,LC,unknown,NA,NA,unknown,NA
7670,LC,decreasing,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
7672,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
7750,EN,decreasing,> 50%,the past 45 years (three generations),undergone a decline exceeding 50% over the past 45 years (three generations,5475
136768,NT,decreasing,30%≤,over three generations,", Please note: A partial estimation, For Mindanao past and ongoing habitat loss due to deforestation has probably caused a population decline in the dawn bat which is estimated to be at least 30% over three generations",NA
136507,LC,unknown,NA,NA,unlikely to be declining.,NA
41428,LC,unknown,NA,NA,unlikely to be declining.,NA
7901,NT,decreasing,NA,20-25%,over three generations (12 years,NA
7906,LC,stable,NA,NA,The specis is common over the entire range and population numbers are increasing,NA
7907,LC,decreasing,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
7912,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
7916,LC,unknown,NA,NA,unlikely to be declining.,NA
136524,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
7929,EN,unknown,30%,three generations (21 years),"A reduction in population of 30% over the last three generations (21 years,",NA
7950,EN,stable,54%,past three generations (30 years),"There was a population reduction of 54% over the past three generations (30 years) from an estimated 5,800 in the late 1980s to a current population of about 2,680 individuals. there are <2,000 mature individuals. T",2190
7951,NT,stable,20%,next three generations,population decline of at least 20% is projected over the next three generations,1825
41013,NT,decreasing,25%,"since 1992 (about 2.5 generations, as generation length is about 10 years)","a 25% decline since 1992 (about 2.5 generations, as generation length is about 10 years).",3659.125
7960,VU,unknown,>10%,2018-2045 (27 years),"Listed as Vulnerable as the total population is currently estimated at ca. 9,000 mature individuals, and could be subject to a decline exceeding 10% over the course of the coming 27 years, largely driven by annual harvesting of the Hartmann's Mountain Zebra population.",NA
29650,LC,stable,NA,NA,no evidence of any population decline in most parts of its range.,NA
136247,LC,stable,NA,NA,unlikely to be declining.,NA
8097,LC,stable,2.5% per year,1967-1996,"the eastern subpopulation has recovered strongly from past over-exploitation, increasing by 2.5% per annum during 1967-96",NA
8992,LC,stable,NA,NA,not believed to be declining.,1816.76125
8973,VU,decreasing,>30%,over the last three generations (13 years),reduction is suspected to be greater than 30% over the last three generations (13 years),1825
8982,NT,decreasing,25%,over the last 3 generations (18 years),"it is estimated that the decline over the last 3 generations (18 years) has reached 25%, and is very possibly higher...Surveys have reported steep declines (60-70%) over periods of c. 20 years dating from the late 1970s in several places",2190
8205,CR,decreasing,>80%,three generation period (24 years,"There is a suspected population reduction of ≥80% in this species over a three generation period (24 years, estimating the generation length to be 8 years).",3206.295944
8206,EN,decreasing,NA,NA,suspected to have undergone a population decline of ≥50% over a period of 24 years (three generations),NA
8199,EN,decreasing,>50%,24 years (three generations),A population reduction of ≥50% is suspected to be met in the future over a time period of 24 years (three generations),NA
8211,CR,decreasing,NA,NA,"a population size reduction) of ≥80% over three generations (or 24 years, assuming a generation length of 8 years)",NA
8202,CR,decreasing,≥80%,over a three generation period (estimating the generation length to be 8 years),population reduction of ≥80% in this species over a three generation period (estimating the generation length to be 8 years),NA
8203,VU,decreasing,30%≤,over a period of 24 years (three generations),undergone a population decline of ≥30% over a period of 24 years (three generations),NA
136269,NT,decreasing,20%-25%,"over the past 24 years (three generations, assuming a generation length of 8 years)","suspected to have undergone a reduction of 20-25% over the past 24 years (three generations, assuming a generation length of 8 years)",NA
8209,VU,decreasing,≥30%,over a three generation period (estimating the generation length to be 8 years). This time period includes both the past and the future,There is a suspected population reduction of ≥30% in this species over a three generation period (estimating the generation length to be 8 years). This time period includes both the past and the future.,NA
8239,NT,increasing,~13%,over the last three generations,"overall abundance of the species has declined by approximately 13% over the last three generations...Overall, the western subspecies had experienced a population reduction of approximately 50% during the last three generations",NA
8241,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
8246,DD,decreasing,This is one of the rarest Neotropical bats,known from a few individuals taken from less than 10 localities in humid lowland areas.,NA,NA
8248,LC,unknown,It is uncommon to rare (Reid 2009). The southern populations (in Central America) are poorly known and limited,the northern populations (in USA) are locally common but limited (Wilson and Ruff 1999).,NA,NA
8269,EN,2010,"Total population size is estimated between 1,000 and 3,000 individuals within the known range (Zahler and Woods 1997)",>50%,10 years,2015.755102
68336601,VU,decreasing,>30%,last three generations (taken as 24 years),"last three generations (taken as 24 years), the population has dropped by more than 30%",NA
39547,EN,decreasing,>50%,over the course of the last three generations (taken as 24 years),"it is likely that over the course of the last three generations (taken as 24 years), the population has dropped by more than 50% (and possibly much more)...suggesting that there will be a further  population drop of at least 50% over the next three generations",NA
17324,LC,unknown,NA,NA,small and a declining trend in the population. Listed as Least Concern,NA
17348,NT,decreasing,30%,in three generations (21 years),Population reduction was calculated as approaching but not exceeding 30% in three generations (21 years),NA
60354712,LC,decreasing,NA,"sum of the following: Scotland (UK): Recent estimates have varied between 1,000 and 4,000 Germany: The population was recently estimated at 1,700-5,000 individuals (Knapp et al. 2000). Switzerland: the Swiss Jura region are occupied by about 160-930 wildcats  Slovenia: The population is estimated at no more than 2,000 Poland: Estimated number of wildcats in Poland is between 100 and 150 individuals Slovakia: The estimate of the Slovakian population in 2000 was about 1,500 individuals Romania: The population is estimated to number c.10,000 individuals",NA,NA
5752,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
8700,VU,decreasing,>30%,over the next ten years,more than 30% over the next ten years...The population is declining perceptibly at a rate of over 20% over the  last 10 years and more than 30% predicted over the next 10 years due to habitat loss (Molur et al. 2005).,NA
8703,VU,decreasing,20%≤,in last 10 years,The population trend indicates a quantitative decrease at a rate of 20% or more in last 10 years and a similar trend in the future is predicted,NA
8704,LC,decreasing,>10%,20 years,A population decline at >10% in 20 years has been observed and the predicted decline is >10% in 10 years due to persecution and loss of habitat (Molur et al. 2005).,NA
8755,LC,unknown,NA,NA,unlikely to be declining.,NA
8826,VU,decreasing,"30% (plausible, over the last ten years) 30%≤ (expected, over the next ten years)",For details see column AG,overall decline of 30% over the last ten years is plausible... it is realistic to expect a further decline of at least 30% over the next ten years.,NA
8833,VU,decreasing,20-25%,last 16 years (three generations),"Over the last 16 years (three generations), the population reduction of this species based on the combined impacts of habitat loss (especially given its habitat requirements) and the effects of introduced carnivores, is estimated at 20-25%,",NA
8969,VU,decreasing,>30%,over the last 15 years (three generations),estimated to have exceeded 30% over the last 15 years (three generations),NA
8975,EN,decreasing,>50%,over a period of three generations (14 years),The rate of decline is suspected to have exceeded 50% over a period of three generations (14 years),NA
8976,VU,decreasing,>30%,in the last 14 years (three generations),decline is estimated to have exceeded 30% in the last 14 years (three generations),2496.146667
136223,VU,decreasing,>10%,last 12 years (assuming a generation length of four years),population decline of at least 10% over the last 12 years (assuming a generation length of four years),2555
8998,VU,decreasing,>10%,last 12 years (three generations),the species underwent a population decline of at least 10% over the last 12 years (assuming a generation length of four years),2555
8997,NT,decreasing,~20%,over the last 12 years (assuming a generation length of four years),decline of around 20% over the last 12 years (assuming a generation length of four years),NA
15628,NT,decreasing,~10%,over the past 12 years,a population decline possibly approximating 10% over the past 12 years,2423.6
9062,LC,unknown,<25%,NA,"The extent of occurrence, area of occupancy, number of subpopulations, and population size probably have declined by less than 25% compared to the historical situation.",NA
21509,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
21510,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
21511,LC,unknown,NA,NA,unlikely to be declining.,NA
45088,LC,unknown,NA,NA,unlikely to be declining.,NA
9124,LC,decreasing,<10%,five years,quantitative decrease in the population at the rate of <10% in the past five years.(S. Chakraborty pers. comm. 2005),NA
9194,VU,decreasing,36-40% decline in the number of mature individuals over three generations,1985-2015,"approximately 106,191-114,416 mature individuals in 1985 and 68,293 in 2015, representing a decline of 36-40% in the number of mature individuals over the three generations.",5251.011667
39994,CR,decreasing,77%,1994-2015,"Plumptre et al. (2015) estimated that the total number of Grauer's Gorillas remaining in 2015 is only 3,800—a 77% loss since 1994.",7300
9404,CR,decreasing,>80%,"over three generations (i.e., 66 years, 2005–2071)","the reduction in the Western Gorilla population is predicted to exceed 80% over three generations (i.e., 66 years, 2005–2071)",8030
9561,LC,decreasing,unlikelihood of a fast decline rate,NA,NA,NA
9564,CR,decreasing,>50%,over the last 18 years (= three generations),the current rate of decline is >50% and suspected to be >80% over the last 18 years (= three generations),1587.5675
9631,VU,decreasing,>30%,a past and future population decline ... over a 10 year period,a past and future population decline of greater than 30% over a 10 year period,NA
9632,VU,decreasing,>30%,over the last three generations,more than 30% over the last three generations,NA
15585,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
15591,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
15613,NT,decreasing,30%>,over ten years,probably at a rate of less than 30% over ten years,NA
9676,CR,decreasing,NA,NA,Population numbers are in decline,3285
9673,VU,decreasing,>30%,24 years (three generations),"undergone a population decline of ≥30% over a period of 24 years (three generations), due primarily to continuing decline in area, extent and quality of habitat, in addition to exploitation through unsustainable hunting pressure.",NA
9678,VU,decreasing,≥30%,over a period of 24 years (three generations),suspected to have undergone a population decline of ≥30% over a period of 24 years (three generations),NA
136776,VU,decreasing,>30%,the species has undergone a decline of at least 30% over the past 15 years due to pressures of hunting.,NA,NA
9760,VU,decreasing,~ 35%,past three bear generations ( 30 years),"overall estimated decline of ~35% for the past 30 years, and ~40% or more for time periods including the future",NA
9828,LC,stable,NA,NA,there are currently no major threats,NA
40607,LC,unknown,NA,NA,". some marginal populations are fragmented and declining.              No decline in population size,",NA
9919,NT,decreasing,30%>,"over three generations, taken at 21 years","less than 30% over three generations, taken at 21 years",NA
70204120,LC,unknown,NA,NA,No other major significant decline in this species.   unlikely to be declining at nearly the rate required to qualify for listing in a threatened category,NA
41613,LC,stable,southern Spain: Delibes 1999) have been recorded.,NA,NA,NA
41616,NT,decreasing,Borneo ~22% Sumatra ~49%,Both Borneo and Sumatra: three generations (taken as about 14 years),Borneo:  the species is declining on the island at about 22% per three generations (taken as about 14 years) Sumatra:  about 49% in three generations,NA
9975,LC,unknown,NA,NA,unlikely to be declining.,NA
9979,VU,decreasing,<30%,"in the last 15 years inferred from deforestation rates, and that this level of decline will continue for the next 15 years","there has been a population decline of more than 30% in the last 15 years inferred from deforestation rates, and that this level of decline will continue for the next 15 years",NA
96802567,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
9997,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category,NA
12073,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
10053,VU,2017,"Based on data and assessments from a few localities in every country, the total population estimate would be 15,750-21,000 individuals (see the Rationale for data for each country). According to a conservative effective population size of 25% of total population, we may infer that the number of mature breeding adults may be between 4,162 and 5,750 individuals (<60% of the threshold 10,000 individuals set for a vulnerable category for the species).",NA,NA,1459.26
10054,EN,decreasing,NA,NA,ongoing decline,2617.55
10103,VU,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,3650
10109,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category,NA
10110,LC,unknown,NA,NA,unlikely to be declining fast,NA
10111,LC,unknown,NA,NA,unlikely to be declining,NA
10112,LC,decreasing,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
10115,LC,decreasing,NA,NA,unlikely to be declining,NA
10116,LC,unknown,NA,NA,unlikely to be declining.,NA
10120,NT,unknown,NA,NA,likely to have resulted in a decline in the region of 20-25% over the past 15 years,NA
10134,LC,decreasing,NA,NA,unlikely to be declining,NA
10135,LC,stable,NA,NA,unlikely to be declining,NA
10108,VU,decreasing,>30%,over the next 10 years,more than 30% will be met over the next 10 years,NA
136586,VU,decreasing,10%,over the next 10 years,projected to decline due to levels of exploitation at a rate of 10% over the next 10 years.,NA
135485,NT,decreasing,<30%,over a ten year period,the global population as a whole is probably declining at <30% over a ten year period,NA
10211,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
10217,LC,stable,NA,NA,unlikely to be declining.,NA
10218,LC,decreasing,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category,NA
39876,EN,decreasing,>50%,past 40 years (approximately three generations),there is reason to believe the species has declined by at least 50% over the past 40 years (approximately three generations),NA
39877,VU,decreasing,>30%,over the next three generations (approximately 40 years),"more than 30%, would be met over the next three generations (approximately 40 years)",5418.846154
12420,NT,decreasing,>20%,the next three generations (23 years,at least 20% is projected for the next three generations (23 years,NA
10329,VU,decreasing,>30%,over three generations (approximately 18 years),A decline rate of at least 30% over three generations (approximately 18 years) seems highly plausible,NA
39889,EN,decreasing,> 50%,past 45 years (3 generations),estimated population reduction of over 50% over the past 45 years (3 generations),NA
10543,EN,decreasing,45 years,> 50%,continued decline- > 50% over the past 45 years (3 generations),NA
39879,EN,decreasing,> 50%,(totalling 45 years which is approximately 3 generations),"estimated population reduction of over 50% when considering the past 30 years and projected future habitat change due to draining of peat swamps, logging and burning into the next 15 years (totalling 45 years which is approximately 3 generations).",NA
39890,EN,decreasing,>50%,45 years (3 generations),reduction of over 50% when considering the past 45 years (3 generations),NA
10547,EN,decreasing,>50%,over the past 45 years (approximately 3 generations),more that 50% over the past 45 years (approximately 3 generations),5475
10548,EN,decreasing,>50%,in the last three generations (45 years),a decline of more than 50% in the last three generations (45 years),NA
39888,EN,decreasing,>50%,over the past 45 years (3 generations),reduction of over 50% over the past 45 years (3 generations),NA
10552,EN,decreasing,50%<,three generations (45 years) for the period 1970-2015,a decline of more than 50% incorporating a time frame of three generations (45 years) for the period 1970-2015,5475
10593,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
10594,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
10600,LC,decreasing,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
10604,NT,decreasing,*,NA,NA,NA
10707,DD,unknown,30%,three generations (53 years),30% global reduction over three generations (53 years,NA
10714,EN,unknown,60%,1997-2000,the population density declined by about 40% between 1997 and 1999 (33 animals/100 ha) and in 2000 by about 60% of the original density (22 animals/100 ha) (Sommer and Hommen 2000),2006.8029
10748,LC,stable,NA,NA,population overall is stable,NA
10749,LC,decreasing,NA,NA,unlikely to be declining.,NA
10753,VU,decreasing,>30%,within the next three generations (22 years),it is suspected that the population will undergo a decline of more than 30% within the next three generations (22 years),NA
10796,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category,NA
90386297,LC,unknown,NA,NA,unlikely to be declining.,NA
10911,LC,decreasing,10-15%,last 10 years,it is not declining fast enough,NA
10957,LC,unknown,NA,NA,", and because it is unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.",NA
10966,EN,decreasing,NA,NA,Listed as Endangered.  forest habitat is continuing to decline,NA
10969,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category,NA
10973,VU,decreasing,NA,NA,likely undergone a 30% population decline over the last ten years,NA
10978,NT,decreasing,~30%,NA,most likely declining at a rate close to 30%,NA
10983,NT,decreasing,30%≤,in 15 years,It is inferred that the population in Malaysia has undergone a decline of at least 30% in 15 years (T. Kingston pers. comm. 2006).,NA
10987,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
11033,NT,decreasing,25%,"between 1999 and 2015, a period of 16 years (three generations = 19 years)","the population declined by 25% between 1999 and 2015, a period of 16 years (three generations = 19 years)",2660.837833
11034,EN,decreasing,NA,over that last 15 years (three generations),decline of more than 50% over that last 15 years (three generations),NA
11037,NT,decreasing,global ~25% in the Kilombero Valley ~37%,"global over the past 19 years (three generations), in Kilombero over (15 years)","The largest population, in the Kilombero Valley, is suspected to have declined at around 37% over the past 19 years (three generations). Populations in Zambia are reportedly stable so the overall decline in the global population over three generations is suspected to be closer to 25%...These figures indicate a decline in Kilombero of 37% in a period (15 years) equivalent to less than three generations (19 years).",2555
11047,DD,unknown,30%,36 years (three generations),30% global reduction over three generations (36 years,NA
11141,LC,unknown,NA,NA,there have been no reported population declines or major threats identified.,NA
11143,DD,unknown,NA,NA,reduced abundance by the late 1980s,NA
11145,LC,unknown,22%,in 10 years,"in the main region where data are available (California) a decline in abundance of 22% in 10 years was reported (Campbell et al. 2015)...Comparison of annual density estimates from 2004 to 2013, after accounting for seasonal differences, demonstrated a mean annual population change of -22.5% (95% confidence interval -35% to -9%), a statistically significant decline in the study area over the 10-year period (Campbell et al. 2015).",NA
39925,EN,decreasing,>50%,45 years,at least a 50% population decline is estimated to have occurred over the past 3 generations (45 years),NA
11175,VU,decreasing,>30%,over the coming 45 years (three generations),will decline by at least 30% over the coming 45 years (three generations),NA
39926,CR,decreasing,~80%,over the next 45 years (three generations),will decline in the order of 80% over the next 45 years (three generations),NA
39927,VU,decreasing,≥30%,the past 45 years (three generations),declined by at least 30% over the past 45 years (three generations),NA
11186,LC,increasing,93%-97%,since 16th century,It is estimated that Guanaco abundance has been reduced to only 3-7% of their original numbers when Europeans arrived to South America and the total Guanaco population was between 30-50 million animals (Raedeke 1979).,4064.145
136474,LC,decreasing,NA,NA,unlikely to have any major decline in the overall population.,NA
40555,NT,decreasing,NA,"over three generations (27-36 years), currently and in the future","it may approach an overall population decline threshold of 30% over three generations (27-36 years), currently and in the future",3354.315
88151055,LC,unknown,NA,NA,unlikely to be declining.,NA
11347,LC,stable,NA,unlikely to be declining.,NA,NA
136627,VU,decreasing,>30%,in the past three generations (18 years,Pacifici et al. 2013),NA
136217,NT,unknown,~25%,over three generations (15 years...),at a rate of almost 25% over three generations (15 years,NA
11487,LC,stable,NA,NA,not considered a serious threat to the species.,NA
11488,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
11499,LC,unknown,NA,NA,unlikely to be declining .,NA
11500,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a threat category.,NA
11503,CR,decreasing,25%,next 7 years.,the species could decline by at least one-quarter in the next seven years.,3078.3735
40643,EN,decreasing,>50%,past 3 generations (21 years),severe population reduction which is estimated to be greater than 50% over the past 3 generations (21 years),2555
11506,EN,stable,NA,NA,"Not including the population in the Poço das Antas Biological Reserve, the total number of individuals estimated was 272 in 55 groups. At the time, the Poço das Antas Biological Reserve was known to harbor about 290 lion tamarins (Kierulff 1993a), giving a total population of 562 (range 470-631), close to the estimate of Coimbra-Filho in 1969. Since 1997, the numbers in the Poço das Antas Biological Reserve have been declining due to predation, and only 220 lion tamarins were recorded in December 2000 (see Franklin and Dietz 2001).",3601.747
15309,NT,decreasing,NA,NA,The population appears to be stable in these regions of Argentina and in slight decline in Bolivia and Peru Habitat loss and population decline is expected to be 14% in the next 21 years or three generations (assuming the same generation length of seven years). .,NA
15311,VU,2015,IUCN team assessed using local densities and other assumptions,NA,NA,2190
54010476,VU,decreasing,NA,NA,A future decline of 10–30% over the next 15-18 years (= three generations) is projected due to declining AOO (habitat loss) and habitat quality.,2190
54012637,VU,decreasing,> 10%,NA,"Decline based on deforestation rates of the species’ habitat is certainly above 10% over the next decades (Morton et al. 2006, Mulligan 2010, Garavito et al. 2012).",2190
11511,NT,decreasing,<30%,next 18 years,is predicted to continue at a rate approaching (but less than) 30% over the next 18 years (three generations),NA
136376,VU,decreasing,NA,NA,Population numbers are in decline,NA
136843,EN,decreasing,NA,NA,Population numbers are in decline,NA
11617,EN,decreasing,NA,NA,suspected population reduction of ≥50% in this species over a three generation period (estimating the generation length to be 7 years),NA
136645,CR,decreasing,≥80%,"over the past 21 years (three generations, assuming a generation length of seven years)","undergone a population reduction of ≥80% over the past 21 years (three generations, assuming a generation length of seven years)...A future population reduction of ≥80% over a 21 year period is also suspected due to the same cause.",NA
11622,CR,decreasing,≥80%,"over the past 21 years (three generations, assuming a generation length of 7 years)","reduction of ≥80% over the past 21 years (three generations, assuming a generation length of 7 years)",1637.770967
136311,EN,decreasing,NA,NA,Population numbers are in decline due to habitat loss.,NA
11699,VU,decreasing,>30%,18 years,estimated to be >30% over the last three generations (generation length of six years,NA
11697,EN,decreasing,>50%,three generations (15-18 years),A population reduction is suspected to have been greater than 50% over the past three generations (15-18 years),NA
136659,NT,decreasing,"""current populations...are little, if any, decreased from those of a quarter century ago (since 1991). It even has been suggested that populations have increased in the past century because of more suitable roosts being available as a result of mining activity in the area.""",NA,NA,NA
41276,LC,stable,NA,NA,Stable,NA
41277,LC,decreasing,10%,85 years,The predicted rate of decline is 10% until the year 2104.                  decline does not qualify it for listing as a threatened species.,NA
11797,VU,decreasing,NA,NA,decreasing population trend of 16.67% and a 4.17% increase within its metapopulation structure.,NA
41285,LC,decreasing,20%≤,for the next 100 years (until the year 2104),continue to decline by at least 20% for the next 100 years (Kryger et al. 2004a).,NA
11933,VU,decreasing,>10%,over the last 12 years (assuming a generation length of four years),likely to have undergone a population decline of at least 10% over the last 12 years (assuming a generation length of four years),1825
12125,LC,unknown,<30%,NA,"Estimates of decline ranged from 25-75% of total population size, but the most realistic scenarios suggest the decline was 30% or less",NA
12142,NT,decreasing,50% (1970-1999) ≥25% (2002-2016),1970-1999,East (1999) suggested a 50% decline in Kenya since 1970. a decline of at least 25% over the last 14 years (three generations) calculated from 2002-2016,2555
12270,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
12273,VU,decreasing,>30%,"over the last 8 years and expected to continue over the next 9 years (i.e., suspected reduction of >30% over three generations)","suspected to be >30% over the last 8 years and expected to continue over the next 9 years (i.e., suspected reduction of >30% over three generations)",NA
12303,EN,decreasing,NA,NA,These threats are inferred to result in future population reductions of at least 50% over the next three generations (30 years Pacifici et al. 2013),NA
12304,NT,decreasing,25%,in the next 27 years (three generations),suspected that it will undergo a decline of 25% in the next 27 years (three generations),NA
12305,EN,decreasing,>50% (freshwater habitats) and 50% (marine habitats),over the next 30 years (three generations based on Pacifici et al. 2013),a future >50% reduction in population size over the next 30 years (three generations based on Pacifici et al. 2013) for those subpopulations using rivers and lakes (freshwater habitats). For the subpopulations using the southern fjords and islands (marine habitats) of Chile the population may reduce to 50% over the next 30 years,NA
12310,NT,decreasing,~27 years,<20-30%,decline in the order of 20-25% over the past ~27 years,NA
99783878,LC,decreasing,NA,NA,the populations of which are expected to decline.,NA
88149174,NT,decreasing,20-25%,in the last three generations,A decline of 20-25% is suspected in the last three generations,NA
44722,LC,decreasing,NA,NA,"‘Population’ heading (for three of four subspecies): “Loris lydekkerianus grandis had …an overall density of 0.42 animals/km, while Loris lydekkerianus nordicus were recorded … with an overall density of 3.65 animals/km… The encounter rate for L. l. malabaricus is 0.21 animals/km.” (Note-density is given in “animals/km” rather than “animal/km^2”)",NA
12375,EN,decreasing,"Two different subspecies with different rates of decline, L. t. nycticeboides and L. t. tardigradus, see column AI",NA,"total population of L. t. nycticeboides is unknown, yet this species has declined by greater than 80% in the last 200 years and is predicted to decline by >20% in the next 10 years. L. t. tardigradus is predicted to decline by greater than 10% in the next 5 years (Molur et al. 2003)",NA
12392,VU,increasing,NA,NA,increasing at an average annual rate of 4.0% per annum,9125
12421,EN,decreasing,50%≤,the past three generations (30 years based on Pacifici et al. 2013),suspected to have declined by at least 50% or more in the past three generations (30 years based on Pacifici et al. 2013),NA
12427,VU,decreasing,30%<,over the past 30 years,declined by more than 30% over the past 30 years (Pacifici et al. 2013),NA
6925,NT,unknown,~10%,over the 10-12 years (three generations),likely to experience a continuing decline nearing 10% over the 10-12 years (three generations),NA
12548,VU,decreasing,> 30%,30 years (three generations),the past and projected decline by at least 30% over the coming 30 years (three generations),NA
12549,NT,decreasing,NA,NA,Near Threatened,NA
39792,VU,decreasing,>30%,over three generations (30-36 years),declining at over 30% over three generations (30-36 years)...decline is predicted to continue at the same rate or higher in the next three generations,NA
12553,EN,decreasing,>50%,over the last three generations (30-36 years),a decline of ≥ 50% of the population over the last three generations (30-36 years)...the level of decline over three generations is more likely to be between 50 and 80%,4015
136569,EN,2008,"According to one source there are currently thirty-five distinct troops known, with at least 569 different individuals (32 troops of 540 individuals in Tawang, and 3 troops of 29 individuals in West Kameng, Kumar et al. in press; Sinha et al. 2006a). Another source, however, has the number of mature individuals as less than 250 (A. Kumar pers. comm.).",NA,NA,NA
